PassengerId,A,B,C,D,E,F
892,3,1,34.5,0,0,1
893,3,0,47,1,0,1
894,2,1,62,0,0,1
895,3,1,27,0,0,1
896,3,0,22,1,1,1
897,3,1,14,0,0,1
898,3,0,30,0,0,1
899,2,1,26,1,1,1
900,3,0,18,0,0,1
901,3,1,21,2,0,1
902,3,1,30,0,0,1
903,1,1,46,0,0,1
904,1,0,23,1,0,1
905,2,1,63,1,0,1
906,1,0,47,1,0,1
907,2,0,24,1,0,1
908,2,1,35,0,0,1
909,3,1,21,0,0,1
910,3,0,27,1,0,1
911,3,0,45,0,0,1
912,1,1,55,1,0,1
913,3,1,9,0,1,1
914,1,0,30,0,0,1
915,1,1,21,0,1,1
916,1,0,48,1,3,1
917,3,1,50,1,0,1
918,1,0,22,0,1,1
919,3,1,22.5,0,0,1
920,1,1,41,0,0,1
921,3,1,30,2,0,1
922,2,1,50,1,0,1
923,2,1,24,2,0,1
924,3,0,33,1,2,1
925,3,0,30,1,2,1
926,1,1,30,1,0,1
927,3,1,18.5,0,0,1
928,3,0,30,0,0,1
929,3,0,21,0,0,1
930,3,1,25,0,0,1
931,3,1,30,0,0,1
932,3,1,39,0,1,1
933,1,1,30,0,0,1
934,3,1,41,0,0,1
935,2,0,30,0,0,1
936,1,0,45,1,0,1
937,3,1,25,0,0,1
938,1,1,45,0,0,1
939,3,1,30,0,0,1
940,1,0,60,0,0,1
941,3,0,36,0,2,1
942,1,1,24,1,0,1
943,2,1,27,0,0,1
944,2,0,20,2,1,1
945,1,0,28,3,2,1
946,2,1,30,0,0,1
947,3,1,10,4,1,1
948,3,1,35,0,0,1
949,3,1,25,0,0,1
950,3,1,30,1,0,1
951,1,0,36,0,0,1
952,3,1,17,0,0,1
953,2,1,32,0,0,1
954,3,1,18,0,0,1
955,3,0,22,0,0,1
956,1,1,13,2,2,1
957,2,0,30,0,0,1
958,3,0,18,0,0,1
959,1,1,47,0,0,1
960,1,1,31,0,0,1
961,1,0,60,1,4,1
962,3,0,24,0,0,1
963,3,1,21,0,0,1
964,3,0,29,0,0,1
965,1,1,28.5,0,0,1
966,1,0,35,0,0,1
967,1,1,32.5,0,0,1
968,3,1,30,0,0,1
969,1,0,55,2,0,1
970,2,1,30,0,0,1
971,3,0,24,0,0,1
972,3,1,6,1,1,1
973,1,1,67,1,0,1
974,1,1,49,0,0,1
975,3,1,30,0,0,1
976,2,1,30,0,0,1
977,3,1,30,1,0,1
978,3,0,27,0,0,1
979,3,0,18,0,0,1
980,3,0,30,0,0,1
981,2,1,2,1,1,1
982,3,0,22,1,0,1
983,3,1,30,0,0,1
984,1,0,27,1,2,1
985,3,1,30,0,0,1
986,1,1,25,0,0,1
987,3,1,25,0,0,1
988,1,0,76,1,0,1
989,3,1,29,0,0,1
990,3,0,20,0,0,1
991,3,1,33,0,0,1
992,1,0,43,1,0,1
993,2,1,27,1,0,1
994,3,1,30,0,0,1
995,3,1,26,0,0,1
996,3,0,16,1,1,1
997,3,1,28,0,0,1
998,3,1,21,0,0,1
999,3,1,30,0,0,1
1000,3,1,30,0,0,1
